firm,確固たる・堅固な・安定した,"She has a firm belief in justice.","彼女は正義に対する確固たる信念を持っています。"
overall,総合的な・全体的な,"The overall result was better than expected.","総合的な結果は予想より良いものでした。"
rural,田舎の・農村の,"Many young people leave rural areas.","多くの若者が農村地域を離れます。"
military,軍の・軍事（用）の,"He served in the military for five years.","彼は5年間軍に勤務しました。"
nuclear,核の・原子力の,"Some countries use nuclear energy.","いくつかの国では原子力エネルギーを利用しています。"
biological,生物学（上）の,"Scientists are studying biological systems.","科学者たちは生物学的な仕組みを研究しています。"
constant,絶え間ない・一定の,"The patient needs constant care.","その患者には絶え間ない看護が必要です。"
severe,厳しい・深刻な,"The country is facing a severe drought.","その国は深刻な干ばつに直面しています。"
predict,予測する,"Experts predict heavy rain tomorrow.","専門家は明日大雨になると予測しています。"
examine,調査する・診察する,"The doctor examined the patient.","医師は患者を診察しました。"
trust,信頼する,"I trust my best friend.","私は親友を信頼しています。"
stick,動けなくなる・突き刺す・固執する,"Our car got stuck in the mud.","私たちの車は泥にはまって動けなくなりました。"
emerge,現れる,"A new problem emerged.","新たな問題が現れました。"
vary,さまざまである・変わる,"Prices vary from store to store.","価格は店によって異なります。"
release,解放する・放出する,"The company released a new product.","その会社は新製品を発売しました。"
divide,分ける,"Let's divide the work equally.","仕事を平等に分けましょう。"
enable,可能にする,"The app enables us to study anywhere.","そのアプリのおかげでどこでも勉強できます。"
judge,判断する,"Don't judge people by their appearance.","見た目で人を判断してはいけません。"
rely,頼る,"You can rely on me.","私を頼ってください。"
engage,従事させる,"The project engaged many students.","そのプロジェクトには多くの学生が参加しました。"
shift,変える・移す,"Public opinion has shifted.","世論は変化しました。"
adopt,採用する,"The company adopted a new system.","その会社は新しい制度を採用しました。"
acquire,習得する,"She acquired excellent communication skills.","彼女は優れたコミュニケーション能力を身につけました。"
expand,拡大する,"The business expanded rapidly.","その事業は急速に拡大しました。"
refuse,拒絶する,"He refused to answer the question.","彼はその質問に答えることを拒否しました。"
